21:38:48.106 [main] INFO  LexemeHandler - Word: passages
21:38:48.106 [main] INFO  WordHandler - Letter: p
21:38:48.107 [main] INFO  WordHandler - Letter: a
21:38:48.107 [main] INFO  WordHandler - Letter: s
21:38:48.107 [main] INFO  WordHandler - Letter: s
21:38:48.107 [main] INFO  WordHandler - Letter: a
21:38:48.107 [main] INFO  WordHandler - Letter: g
21:38:48.107 [main] INFO  WordHandler - Letter: e
21:38:48.107 [main] INFO  WordHandler - Letter: s
21:38:48.107 [main] INFO  LexemeHandler - Punctuation: ,
21:38:48.107 [main] INFO  SentenceHandler - Lexeme: and
21:38:48.107 [main] INFO  LexemeHandler - Word: and
21:38:48.107 [main] INFO  WordHandler - Letter: a
21:38:48.107 [main] INFO  WordHandler - Letter: n
21:38:48.108 [main] INFO  WordHandler - Letter: d
21:38:48.108 [main] INFO  SentenceHandler - Lexeme: more
21:38:48.108 [main] INFO  LexemeHandler - Word: more
21:38:48.108 [main] INFO  WordHandler - Letter: m
21:38:48.108 [main] INFO  WordHandler - Letter: o
21:38:48.108 [main] INFO  WordHandler - Letter: r
21:38:48.108 [main] INFO  WordHandler - Letter: e
21:38:48.108 [main] INFO  SentenceHandler - Lexeme: recently
21:38:48.109 [main] INFO  LexemeHandler - Word: recently
21:38:48.109 [main] INFO  WordHandler - Letter: r
21:38:48.109 [main] INFO  WordHandler - Letter: e
21:38:48.109 [main] INFO  WordHandler - Letter: c
21:38:48.109 [main] INFO  WordHandler - Letter: e
21:38:48.109 [main] INFO  WordHandler - Letter: n
21:38:48.109 [main] INFO  WordHandler - Letter: t
21:38:48.109 [main] INFO  WordHandler - Letter: l
21:38:48.109 [main] INFO  WordHandler - Letter: y
21:38:48.109 [main] INFO  SentenceHandler - Lexeme: with
21:38:48.109 [main] INFO  LexemeHandler - Word: with
21:38:48.109 [main] INFO  WordHandler - Letter: w
21:38:48.109 [main] INFO  WordHandler - Letter: i
21:38:48.109 [main] INFO  WordHandler - Letter: t
21:38:48.110 [main] INFO  WordHandler - Letter: h
21:38:48.110 [main] INFO  SentenceHandler - Lexeme: desktop
21:38:48.110 [main] INFO  LexemeHandler - Word: desktop
21:38:48.110 [main] INFO  WordHandler - Letter: d
21:38:48.110 [main] INFO  WordHandler - Letter: e
21:38:48.110 [main] INFO  WordHandler - Letter: s
21:38:48.110 [main] INFO  WordHandler - Letter: k
21:38:48.110 [main] INFO  WordHandler - Letter: t
21:38:48.110 [main] INFO  WordHandler - Letter: o
21:38:48.111 [main] INFO  WordHandler - Letter: p
21:38:48.111 [main] INFO  SentenceHandler - Lexeme: publishing
21:38:48.111 [main] INFO  LexemeHandler - Word: publishing
21:38:48.111 [main] INFO  WordHandler - Letter: p
21:38:48.111 [main] INFO  WordHandler - Letter: u
21:38:48.111 [main] INFO  WordHandler - Letter: b
21:38:48.111 [main] INFO  WordHandler - Letter: l
21:38:48.111 [main] INFO  WordHandler - Letter: i
21:38:48.111 [main] INFO  WordHandler - Letter: s
21:38:48.111 [main] INFO  WordHandler - Letter: h
21:38:48.111 [main] INFO  WordHandler - Letter: i
21:38:48.111 [main] INFO  WordHandler - Letter: n
21:38:48.111 [main] INFO  WordHandler - Letter: g
21:38:48.111 [main] INFO  SentenceHandler - Lexeme: software
21:38:48.112 [main] INFO  LexemeHandler - Word: software
21:38:48.112 [main] INFO  WordHandler - Letter: s
21:38:48.112 [main] INFO  WordHandler - Letter: o
21:38:48.112 [main] INFO  WordHandler - Letter: f
21:38:48.112 [main] INFO  WordHandler - Letter: t
21:38:48.112 [main] INFO  WordHandler - Letter: w
21:38:48.112 [main] INFO  WordHandler - Letter: a
21:38:48.112 [main] INFO  WordHandler - Letter: r
21:38:48.112 [main] INFO  WordHandler - Letter: e
21:38:48.112 [main] INFO  SentenceHandler - Lexeme: like
21:38:48.112 [main] INFO  LexemeHandler - Word: like
21:38:48.112 [main] INFO  WordHandler - Letter: l
21:38:48.112 [main] INFO  WordHandler - Letter: i
21:38:48.112 [main] INFO  WordHandler - Letter: k
21:38:48.113 [main] INFO  WordHandler - Letter: e
21:38:48.113 [main] INFO  SentenceHandler - Lexeme: Aldus
21:38:48.113 [main] INFO  LexemeHandler - Word: Aldus
21:38:48.113 [main] INFO  WordHandler - Letter: A
21:38:48.113 [main] INFO  WordHandler - Letter: l
21:38:48.113 [main] INFO  WordHandler - Letter: d
21:38:48.113 [main] INFO  WordHandler - Letter: u
21:38:48.113 [main] INFO  WordHandler - Letter: s
21:38:48.113 [main] INFO  SentenceHandler - Lexeme: PageMaker
21:38:48.113 [main] INFO  LexemeHandler - Word: PageMaker
21:38:48.113 [main] INFO  WordHandler - Letter: P
21:38:48.113 [main] INFO  WordHandler - Letter: a
21:38:48.113 [main] INFO  WordHandler - Letter: g
21:38:48.113 [main] INFO  WordHandler - Letter: e
21:38:48.113 [main] INFO  WordHandler - Letter: M
21:38:48.113 [main] INFO  WordHandler - Letter: a
21:38:48.113 [main] INFO  WordHandler - Letter: k
21:38:48.113 [main] INFO  WordHandler - Letter: e
21:38:48.113 [main] INFO  WordHandler - Letter: r
21:38:48.113 [main] INFO  SentenceHandler - Lexeme: Faclon9
21:38:48.114 [main] INFO  LexemeHandler - Word: Faclon9
21:38:48.114 [main] INFO  WordHandler - Letter: F
21:38:48.114 [main] INFO  WordHandler - Letter: a
21:38:48.114 [main] INFO  WordHandler - Letter: c
21:38:48.114 [main] INFO  WordHandler - Letter: l
21:38:48.114 [main] INFO  WordHandler - Letter: o
21:38:48.114 [main] INFO  WordHandler - Letter: n
21:38:48.114 [main] WARN  WordHandler - Unknown textType
21:38:48.114 [main] INFO  SentenceHandler - Lexeme: including
21:38:48.114 [main] INFO  LexemeHandler - Word: including
21:38:48.114 [main] INFO  WordHandler - Letter: i
21:38:48.114 [main] INFO  WordHandler - Letter: n
21:38:48.114 [main] INFO  WordHandler - Letter: c
21:38:48.114 [main] INFO  WordHandler - Letter: l
21:38:48.114 [main] INFO  WordHandler - Letter: u
21:38:48.114 [main] INFO  WordHandler - Letter: d
21:38:48.114 [main] INFO  WordHandler - Letter: i
21:38:48.114 [main] INFO  WordHandler - Letter: n
21:38:48.115 [main] INFO  WordHandler - Letter: g
21:38:48.115 [main] INFO  SentenceHandler - Lexeme: versions
21:38:48.115 [main] INFO  LexemeHandler - Word: versions
21:38:48.115 [main] INFO  WordHandler - Letter: v
21:38:48.115 [main] INFO  WordHandler - Letter: e
21:38:48.115 [main] INFO  WordHandler - Letter: r
21:38:48.115 [main] INFO  WordHandler - Letter: s
21:38:48.115 [main] INFO  WordHandler - Letter: i
21:38:48.115 [main] INFO  WordHandler - Letter: o
21:38:48.115 [main] INFO  WordHandler - Letter: n
21:38:48.115 [main] INFO  WordHandler - Letter: s
21:38:48.115 [main] INFO  SentenceHandler - Lexeme: of
21:38:48.116 [main] INFO  LexemeHandler - Word: of
21:38:48.116 [main] INFO  WordHandler - Letter: o
21:38:48.116 [main] INFO  WordHandler - Letter: f
21:38:48.116 [main] INFO  SentenceHandler - Lexeme: Lorem
21:38:48.116 [main] INFO  LexemeHandler - Word: Lorem
21:38:48.116 [main] INFO  WordHandler - Letter: L
21:38:48.116 [main] INFO  WordHandler - Letter: o
21:38:48.116 [main] INFO  WordHandler - Letter: r
21:38:48.116 [main] INFO  WordHandler - Letter: e
21:38:48.116 [main] INFO  WordHandler - Letter: m
21:38:48.117 [main] INFO  SentenceHandler - Lexeme: Ipsum!
21:38:48.117 [main] INFO  LexemeHandler - Word: Ipsum
21:38:48.117 [main] INFO  WordHandler - Letter: I
21:38:48.117 [main] INFO  WordHandler - Letter: p
21:38:48.117 [main] INFO  WordHandler - Letter: s
21:38:48.117 [main] INFO  WordHandler - Letter: u
21:38:48.117 [main] INFO  WordHandler - Letter: m
21:38:48.117 [main] INFO  LexemeHandler - Punctuation: !
21:38:48.117 [main] INFO  TextHandler - Paragraph:  It is a long a!=b established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Ipsum is that it has a more or-less normal distribution ob.toString(a?b:c), as opposed to using (Content here), content here's, making it look like readable English?
21:38:48.117 [main] INFO  ParagraphHandler - Sentence:  It is a long a!=b established fact that a reader will be distracted by the readable content of a page when looking at its layout.
21:38:48.118 [main] INFO  SentenceHandler - Lexeme: 
21:38:48.118 [main] INFO  LexemeHandler - Word: 
21:38:48.118 [main] INFO  SentenceHandler - Lexeme: It
21:38:48.118 [main] INFO  LexemeHandler - Word: It
21:38:48.118 [main] INFO  WordHandler - Letter: I
21:38:48.118 [main] INFO  WordHandler - Letter: t
21:38:48.118 [main] INFO  SentenceHandler - Lexeme: is
21:38:48.118 [main] INFO  LexemeHandler - Word: is
21:38:48.118 [main] INFO  WordHandler - Letter: i
21:38:48.118 [main] INFO  WordHandler - Letter: s
21:38:48.118 [main] INFO  SentenceHandler - Lexeme: a
